,BlackElo,ECO,Event,Opening,Result,Termination,TimeControl,WhiteElo,BlackTitle,WhiteTitle,Move_ply_200,Category,Opening_new,freq,ELO Diff,Ave ELO
1705,1463,A02,Rated Bullet game,Bird Opening,0-1,Normal,60+0,1433,,,,Bullet,Bird Opening,1581,-30,1448.0
1718,1636,A84,Rated Bullet game,Dutch Defense: Rubinstein Variation,0-1,Normal,60+0,1631,,,,Bullet,Dutch Defense,1126,-5,1633.5
1721,1306,C00,Rated Bullet game,French Defense: Knight Variation,0-1,Normal,120+1,1305,,,,Bullet,French Defense,13036,-1,1305.5
1740,1568,D07,Rated Bullet game,"Queen's Gambit Refused: Chigorin Defense, Janowski Variation",0-1,Time forfeit,60+0,1548,,,,Bullet,Queen's Gambit Declined,2704,-20,1558.0
1742,1313,A45,Rated Bullet game,Indian Game: Omega Gambit,1-0,Time forfeit,60+0,1301,,,,Bullet,Indian Game,4090,-12,1307.0
1764,1334,B54,Rated Bullet game,Sicilian Defense #2,1-0,Time forfeit,120+1,1299,,,,Bullet,Sicilian Defense,27238,-35,1316.5
1785,1604,C23,Rated Bullet game,Bishop's Opening,1-0,Time forfeit,60+0,1617,,,,Bullet,Bishop's Opening,2817,13,1610.5
1793,1588,A40,Rated Bullet game,Englund Gambit,0-1,Time forfeit,60+0,1594,,,,Bullet,Englund Gambit,651,6,1591.0
1818,1691,D06,Rated Bullet game,Queen's Gambit Refused: Marshall Defense,1-0,Time forfeit,60+0,1681,,,,Bullet,Queen's Gambit Declined,2704,-10,1686.0
1829,1553,C00,Rated Bullet tournament https://lichess.org/tournament/1H4BDqbR,French Defense: Normal Variation,1-0,Time forfeit,30+0,1413,,,,Bullet,French Defense,13036,-140,1483.0
1836,1655,B27,Rated Bullet game,Sicilian Defense: Katalimov Variation,0-1,Time forfeit,60+0,1648,,,,Bullet,Sicilian Defense,27238,-7,1651.5
1867,1346,B50,Rated Bullet game,Sicilian Defense: Delayed Alapin,1-0,Time forfeit,60+0,1291,,,,Bullet,Sicilian Defense,27238,-55,1318.5
1876,1363,D00,Rated Bullet game,Blackmar-Diemer Gambit,0-1,Time forfeit,60+0,1323,,,,Bullet,Blackmar-Diemer Gambit,631,-40,1343.0
1877,1304,A00,Rated Bullet game,Hungarian Opening,1-0,Time forfeit,60+0,1408,,,,Bullet,Hungarian Opening,2313,104,1356.0
1882,1575,B01,Rated Bullet game,Scandinavian Defense: Panov Transfer,0-1,Normal,60+0,1662,,,,Bullet,Scandinavian Defense,7890,87,1618.5
1895,1622,B07,Rated Bullet game,Pirc Defense #5,1-0,Normal,60+0,1615,,,,Bullet,Pirc Defense,2814,-7,1618.5
1902,1692,D02,Rated Bullet game,Queen's Pawn Game: Chigorin Variation,0-1,Time forfeit,120+1,1660,,,,Bullet,Queen's Pawn Game,13096,-32,1676.0
1913,1580,B20,Rated Bullet game,Sicilian Defense,0-1,Normal,60+0,1525,,,,Bullet,Sicilian Defense,27238,-55,1552.5
1915,1370,C10,Rated Bullet game,French Defense: Rubinstein Variation,1-0,Normal,60+0,1395,,,,Bullet,French Defense,13036,25,1382.5
1933,1409,B10,Rated Bullet tournament https://lichess.org/tournament/Ge2xJYzs,Caro-Kann Defense,0-1,Time forfeit,60+0,1195,,,,Bullet,Caro-Kann Defense,6878,-214,1302.0
1941,1638,D30,Rated Bullet game,Queen's Gambit Declined,1-0,Normal,60+0,1500,,,,Bullet,Queen's Gambit Declined,4145,-138,1569.0
1947,1331,B12,Rated Bullet tournament https://lichess.org/tournament/Ge2xJYzs,"Caro-Kann Defense: Advance Variation, Short Variation",0-1,Time forfeit,60+0,1377,,,,Bullet,Caro-Kann Defense,6878,46,1354.0
1954,1534,B30,Rated Bullet game,Sicilian Defense: Old Sicilian,1-0,Time forfeit,60+0,1396,,,,Bullet,Sicilian Defense,27238,-138,1465.0
1967,1486,C20,Rated Bullet game,Bishop's Opening: Boi Variation,0-1,Normal,60+0,1501,,,,Bullet,Bishop's Opening,2817,15,1493.5
1971,1500,A10,Rated Bullet game,English Opening,0-1,Time forfeit,30+0,1739,,,,Bullet,English Opening,7494,239,1619.5
1975,1353,C40,Rated Bullet tournament https://lichess.org/tournament/Ge2xJYzs,King's Pawn Game: Busch-Gass Gambit,0-1,Time forfeit,60+0,1408,,,,Bullet,King's Pawn Game,6903,55,1380.5
1977,1646,B00,Rated Bullet game,Owen Defense,1-0,Time forfeit,60+0,1689,,,,Bullet,Owen Defense,1829,43,1667.5
1982,1595,C40,Rated Bullet game,King's Pawn Game: Busch-Gass Gambit,0-1,Time forfeit,60+0,1590,,,,Bullet,King's Pawn Game,6903,-5,1592.5
1983,1500,C53,Rated Bullet game,"Italian Game: Classical Variation, Giuoco Pianissimo",0-1,Normal,15+4,1393,,,,Bullet,Italian Game,8617,-107,1446.5
2017,1571,A04,Rated Bullet game,RÃ©ti Opening #2,1-0,Time forfeit,120+1,1604,,,,Bullet,RÃ©ti Opening,668,33,1587.5
2022,1394,B00,Rated Bullet game,King's Pawn Game: Nimzowitsch Defense,0-1,Time forfeit,60+0,1329,,,,Bullet,King's Pawn Game,6903,-65,1361.5
2054,1499,C43,Rated Bullet game,"Russian Game: Modern Attack, Symmetrical Variation #2",0-1,Time forfeit,30+0,1480,,,,Bullet,Russian Game,2640,-19,1489.5
2056,1473,A00,Rated Bullet game,Mieses Opening: Reversed Rat,1-0,Time forfeit,60+0,1500,,,,Bullet,Mieses Opening,881,27,1486.5
2069,1647,E50,Rated Bullet game,"Nimzo-Indian Defense: Normal Variation, HÃ¼bner Deferred",1-0,Time forfeit,60+0,1654,,,,Bullet,Nimzo-Indian Defense,1319,7,1650.5
