,BlackElo,ECO,Event,Opening,Result,Termination,TimeControl,WhiteElo,BlackTitle,WhiteTitle,Move_ply_200,Category,Opening_new,freq,ELO Diff,Ave ELO
185499,2119,C02,Rated Bullet game,French Defense: Advance Variation,1-0,Normal,60+0,2281,,,,Bullet,French Defense,13036,162,2200.0
185505,1739,D02,Rated Bullet game,Queen's Pawn Game: Symmetrical Variation,0-1,Normal,60+0,1739,,,,Bullet,Queen's Pawn Game,13096,0,1739.0
185518,1756,B00,Rated Bullet game,Owen Defense,1-0,Normal,60+0,1762,,,,Bullet,Owen Defense,1829,6,1759.0
185525,1725,A40,Rated Bullet game,Horwitz Defense,1-0,Normal,60+0,1715,,,,Bullet,Horwitz Defense,2191,-10,1720.0
185541,1850,A43,Rated Bullet game,Old Benoni Defense #2,1-0,Time forfeit,60+0,1831,,,,Bullet,Old Benoni Defense,867,-19,1840.5
185548,1665,A41,Rated Bullet tournament https://lichess.org/tournament/TrYmjMFV,Old Indian Defense,1-0,Normal,60+0,2054,,,,Bullet,Old Indian Defense,506,389,1859.5
185558,1903,B20,Rated Bullet game,Sicilian Defense: Bowdler Attack,0-1,Normal,30+0,1855,,,,Bullet,Sicilian Defense,27238,-48,1879.0
185563,1848,B21,Rated Bullet tournament https://lichess.org/tournament/sdvC54tv,Sicilian Defense: McDonnell Attack,0-1,Normal,60+0,1949,,,,Bullet,Sicilian Defense,27238,101,1898.5
185589,1763,C42,Rated Bullet game,Russian Game: Urusov Gambit,0-1,Time forfeit,60+0,1735,,,,Bullet,Russian Game,2640,-28,1749.0
185598,1816,A00,Rated Bullet tournament https://lichess.org/tournament/TrYmjMFV,Mieses Opening,1-0,Normal,60+0,1657,,,,Bullet,Mieses Opening,881,-159,1736.5
185603,1953,C77,Rated Bullet game,"Ruy Lopez: Morphy Defense, Anderssen Variation",0-1,Time forfeit,60+0,1956,,,,Bullet,Ruy Lopez,6912,3,1954.5
185612,1719,E60,Rated Bullet game,"King's Indian Defense: Normal Variation, King's Knight Variation",0-1,Time forfeit,60+0,1696,,,,Bullet,King's Indian Defense,2170,-23,1707.5
185616,1734,B10,Rated Bullet game,Caro-Kann Defense,0-1,Normal,30+0,1882,,,,Bullet,Caro-Kann Defense,6878,148,1808.0
185624,1861,C02,Rated Bullet game,"French Defense: Advance Variation, Paulsen Attack",0-1,Time forfeit,60+0,1732,,,,Bullet,French Defense,13036,-129,1796.5
185638,1757,A42,Rated Bullet game,Modern Defense: Averbakh Variation,0-1,Time forfeit,60+0,1690,,,,Bullet,Modern Defense,3666,-67,1723.5
185678,2251,A00,Rated Bullet game,Hungarian Opening: Reversed Alekhine,0-1,Time forfeit,60+0,2195,,,,Bullet,Hungarian Opening,2313,-56,2223.0
185679,2182,A04,Rated Bullet game,Zukertort Opening: Pirc Invitation,0-1,Normal,30+0,2539,,,,Bullet,Zukertort Opening,3388,357,2360.5
185706,1839,C55,Rated Bullet game,Italian Game: Anti-Fried Liver Defense,0-1,Normal,60+0,1776,,,,Bullet,Italian Game,8617,-63,1807.5
185748,1686,C27,Rated Bullet game,Vienna Game,1-0,Time forfeit,60+0,1868,,,,Bullet,Vienna Game,1849,182,1777.0
185814,1742,B23,Rated Bullet game,Sicilian Defense: Closed,0-1,Normal,60+0,1787,,,,Bullet,Sicilian Defense,27238,45,1764.5
185845,1849,C55,Rated Bullet game,"Italian Game: Two Knights Defense, Max Lange Attack",1-0,Normal,120+1,1965,,,,Bullet,Italian Game,8617,116,1907.0
185860,1623,B20,Rated Bullet tournament https://lichess.org/tournament/AclBQdbG,Sicilian Defense,1-0,Normal,60+0,2113,,,,Bullet,Sicilian Defense,27238,490,1868.0
185867,1988,B22,Rated Bullet game,Sicilian Defense: Alapin Variation,1-0,Time forfeit,60+0,1984,,,,Bullet,Sicilian Defense,27238,-4,1986.0
185871,1795,B30,Rated Bullet game,Sicilian Defense: Old Sicilian,1-0,Normal,60+0,1757,,,,Bullet,Sicilian Defense,27238,-38,1776.0
185890,1847,B07,Rated Bullet game,Pirc Defense #4,1-0,Normal,60+0,1752,,,,Bullet,Pirc Defense,2814,-95,1799.5
185894,1734,C35,Rated Bullet game,"King's Gambit Accepted, Cunningham Defense, Bertin Gambit",0-1,Normal,120+1,1716,,,,Bullet,King's Gambit Accepted,1706,-18,1725.0
185909,2184,A40,Rated Bullet game,Modern Defense,0-1,Normal,60+0,2068,,,,Bullet,Modern Defense,3666,-116,2126.0
185913,1844,B12,Rated Bullet game,"Caro-Kann Defense: Advance Variation, Short Variation",0-1,Normal,120+1,2084,,,,Bullet,Caro-Kann Defense,6878,240,1964.0
185958,1821,A56,Rated Bullet game,Benoni Defense: Czech Benoni Defense,0-1,Time forfeit,120+1,1865,,,,Bullet,Benoni Defense,1124,44,1843.0
185959,2382,B01,Rated Bullet game,Scandinavian Defense: Modern Variation #2,0-1,Normal,60+0,2256,,,,Bullet,Scandinavian Defense,7890,-126,2319.0
185960,1889,C40,Rated Bullet game,Elephant Gambit,0-1,Normal,60+0,1851,,,,Bullet,Elephant Gambit,549,-38,1870.0
185983,1886,B00,Rated Bullet game,Nimzowitsch Defense,1-0,Normal,60+0,1889,,,,Bullet,Nimzowitsch Defense,2364,3,1887.5
185984,1712,D00,Rated Bullet game,Queen's Pawn Game: Mason Attack,0-1,Normal,60+0,1700,,,,Bullet,Queen's Pawn Game,13096,-12,1706.0
185993,2023,A00,Rated Bullet game,Van't Kruijs Opening,1-0,Normal,60+0,1947,,,,Bullet,Van't Kruijs Opening,2719,-76,1985.0
186002,2150,A10,Rated Bullet game,English Opening: Great Snake Variation,1-0,Normal,60+1,1870,,,,Bullet,English Opening,7494,-280,2010.0
186017,1767,A01,Rated Bullet game,Nimzo-Larsen Attack,1-0,Normal,60+0,1736,,,,Bullet,Nimzo-Larsen Attack,2228,-31,1751.5
