,BlackElo,ECO,Event,Opening,Result,Termination,TimeControl,WhiteElo,BlackTitle,WhiteTitle,Move_ply_200,Category,Opening_new,freq,ELO Diff,Ave ELO
51310,1816,B06,Rated Bullet game,Modern Defense: Standard Defense,1-0,Time forfeit,120+1,1887,,,,Bullet,Modern Defense,3666,71,1851.5
51332,1700,A30,Rated Bullet game,English Opening: Symmetrical Variation,1-0,Normal,60+0,1710,,,,Bullet,English Opening,7494,10,1705.0
51354,2016,B70,Rated Bullet game,Sicilian Defense: Dragon Variation,1-0,Normal,120+0,1930,,,,Bullet,Sicilian Defense,27238,-86,1973.0
51397,1812,C30,Rated Bullet game,"King's Gambit Declined, Queen's Knight Defense",1-0,Time forfeit,60+0,1775,,,,Bullet,King's Gambit Declined,743,-37,1793.5
51410,1870,C64,Rated Bullet game,"Ruy Lopez: Classical Variation, Zukertort Gambit",1-0,Normal,120+1,1885,,,,Bullet,Ruy Lopez,6912,15,1877.5
51419,2079,C41,Rated Bullet game,"Philidor Defense: Hanham Variation, Krause Variation",1-0,Normal,60+0,2024,,,,Bullet,Philidor Defense,5391,-55,2051.5
51420,1721,A00,Rated Bullet game,Polish Opening,1-0,Time forfeit,60+0,1720,,,,Bullet,Polish Opening,733,-1,1720.5
51447,1900,A00,Rated Bullet game,Van Geet Opening,1-0,Time forfeit,30+0,1866,,,,Bullet,Van Geet Opening,693,-34,1883.0
51460,1833,B23,Rated Bullet game,Sicilian Defense: Closed Variation,0-1,Normal,60+2,1718,,,,Bullet,Sicilian Defense,27238,-115,1775.5
51473,1886,B22,Rated Bullet game,"Sicilian Defense: Alapin Variation, Barmen Defense",0-1,Normal,60+0,2093,,,,Bullet,Sicilian Defense,27238,207,1989.5
51528,1886,B07,Rated Bullet game,Rat Defense: Antal Defense,1-0,Time forfeit,120+1,1863,,,,Bullet,Rat Defense,755,-23,1874.5
51530,1808,A40,Rated Bullet game,"Englund Gambit Declined, Reversed French",1-0,Time forfeit,0+1,2029,,,,Bullet,Englund Gambit Declined,594,221,1918.5
51541,1829,A00,Rated Bullet game,Mieses Opening: Reversed Rat,1-0,Time forfeit,0+2,1668,,,,Bullet,Mieses Opening,881,-161,1748.5
51565,1753,B23,Rated Bullet game,Sicilian Defense: Closed Variation,0-1,Time forfeit,120+1,1720,,,,Bullet,Sicilian Defense,27238,-33,1736.5
51574,1876,E81,Rated Bullet game,"King's Indian Defense: SÃ¤misch Variation, Normal Defense",0-1,Normal,120+1,2011,,,,Bullet,King's Indian Defense,2170,135,1943.5
51576,1998,D35,Rated Bullet tournament https://lichess.org/tournament/iDLxsdRk,Queen's Gambit Declined: Normal Defense,1-0,Normal,60+0,1919,,,,Bullet,Queen's Gambit Declined,4145,-79,1958.5
51578,2341,A46,Rated Bullet game,Indian Game: Wade-Tartakower Defense,1-0,Time forfeit,60+0,2416,,,,Bullet,Indian Game,4090,75,2378.5
51600,1746,C14,Rated Bullet game,"French Defense: Classical Variation, Steinitz Variation",1-0,Time forfeit,60+0,1791,,,,Bullet,French Defense,13036,45,1768.5
51622,1793,A40,Rated Bullet game,Horwitz Defense,1-0,Time forfeit,60+0,2011,,,,Bullet,Horwitz Defense,2191,218,1902.0
51627,1707,B23,Rated Bullet game,Sicilian Defense: Closed Variation,0-1,Time forfeit,60+0,1834,,,,Bullet,Sicilian Defense,27238,127,1770.5
51641,2250,B07,Rated Bullet game,Rat Defense: Harmonist,0-1,Normal,60+0,1973,,,,Bullet,Rat Defense,755,-277,2111.5
51642,1928,D45,Rated Bullet game,Semi-Slav Defense: Rubinstein (Anti-Meran) System,1-0,Normal,60+0,1916,,,,Bullet,Semi-Slav Defense,1054,-12,1922.0
51667,1810,E42,Rated Bullet game,"Nimzo-Indian Defense: HÃ¼bner Variation, Rubinstein Variation, Main Line",0-1,Time forfeit,120+1,1655,,,,Bullet,Nimzo-Indian Defense,1319,-155,1732.5
51682,1745,A40,Rated Bullet game,"Englund Gambit Declined, Reversed Brooklyn",1-0,Time forfeit,60+0,2056,,,,Bullet,Englund Gambit Declined,594,311,1900.5
51687,2049,A00,Rated Bullet game,Van Geet Opening: Reversed Nimzowitsch,1-0,Normal,120+1,2219,,,,Bullet,Van Geet Opening,693,170,2134.0
51692,1740,B00,Rated Bullet game,Nimzowitsch Defense: Kennedy Variation,0-1,Normal,60+0,1714,,,,Bullet,Nimzowitsch Defense,2364,-26,1727.0
51704,2132,B54,Rated Bullet game,Sicilian Defense,1-0,Normal,120+1,2050,,,,Bullet,Sicilian Defense,27238,-82,2091.0
51765,2083,C10,Rated Bullet tournament https://lichess.org/tournament/2aGGxNIE,"French Defense: Rubinstein Variation, Fort Knox Variation",0-1,Time forfeit,60+0,1833,,,,Bullet,French Defense,13036,-250,1958.0
51771,1909,C77,Rated Bullet game,"Ruy Lopez: Morphy Defense, Bayreuth Variation",0-1,Normal,60+0,1998,,,,Bullet,Ruy Lopez,6912,89,1953.5
51776,1853,A00,Rated Bullet game,Van't Kruijs Opening,0-1,Normal,60+0,1863,,,,Bullet,Van't Kruijs Opening,2719,10,1858.0
51793,1801,A41,Rated Bullet tournament https://lichess.org/tournament/FZSx4zp0,Queen's Pawn,1-0,Time forfeit,90+0,1706,,,,Bullet,Queen's Pawn Game,1407,-95,1753.5
51824,1942,A00,Rated Bullet game,Hungarian Opening: Slav Formation,1-0,Time forfeit,60+0,2001,,,,Bullet,Hungarian Opening,2313,59,1971.5
51841,1833,E17,Rated Bullet game,Queen's Indian Defense: Classical Variation,0-1,Normal,120+1,1871,,,,Bullet,Queen's Indian Defense,220,38,1852.0
51903,2085,A09,Rated Bullet game,RÃ©ti Opening: Advance Variation,1-0,Normal,120+1,2168,,,,Bullet,RÃ©ti Opening,668,83,2126.5
51906,2031,B01,Rated Bullet tournament https://lichess.org/tournament/cQcq42ow,Scandinavian Defense: Main Line,0-1,Normal,0+2,1535,,,,Bullet,Scandinavian Defense,7890,-496,1783.0
51935,1757,C30,Rated Bullet game,"King's Gambit Declined, Queen's Knight Defense",1-0,Time forfeit,60+0,1777,,,,Bullet,King's Gambit Declined,743,20,1767.0
51937,2035,A00,Rated Bullet game,Mieses Opening,1-0,Normal,60+0,2036,,,,Bullet,Mieses Opening,881,1,2035.5
51972,1769,A40,Rated Bullet tournament https://lichess.org/tournament/9E8uAfrJ,Modern Defense,0-1,Time forfeit,60+1,1779,,,,Bullet,Modern Defense,3666,10,1774.0
51974,2075,A00,Rated Bullet tournament https://lichess.org/tournament/cQcq42ow,Hungarian Opening,1-0,Normal,0+2,1555,,,,Bullet,Hungarian Opening,2313,-520,1815.0
51980,1801,A43,Rated Bullet game,Benoni Defense: Benoni Gambit Accepted,0-1,Normal,60+0,1790,,,,Bullet,Benoni Defense,1124,-11,1795.5
52000,1734,B03,Rated Bullet game,Alekhine Defense #2,1-0,Normal,60+0,1752,,,,Bullet,Alekhine Defense,2101,18,1743.0
52001,2036,B09,Rated Bullet game,Pirc Defense: Austrian Attack,1-0,Normal,60+0,2054,,,,Bullet,Pirc Defense,2814,18,2045.0
52015,1889,A03,Rated Bullet game,Bird Opening: Williams Gambit,1-0,Normal,60+0,1941,,,,Bullet,Bird Opening,1581,52,1915.0
52022,2038,E44,Rated Bullet game,Nimzo-Indian Defense: Fischer Variation,0-1,Time forfeit,120+1,1840,,,,Bullet,Nimzo-Indian Defense,1319,-198,1939.0
52051,1726,B01,Rated Bullet game,Scandinavian Defense: Mieses-Kotroc Variation,0-1,Normal,120+1,1734,,,,Bullet,Scandinavian Defense,7890,8,1730.0
52055,1983,B20,Rated Bullet game,Sicilian Defense: Snyder Variation,1-0,Normal,120+1,2079,,,,Bullet,Sicilian Defense,27238,96,2031.0
52059,2099,D02,Rated Bullet tournament https://lichess.org/tournament/cQcq42ow,Queen's Pawn Game: London System,0-1,Normal,0+2,1919,,,,Bullet,Queen's Pawn Game,13096,-180,2009.0
52079,1805,B01,Rated Bullet game,Scandinavian Defense: Gubinsky-Melts Defense,0-1,Normal,120+0,1975,,,,Bullet,Scandinavian Defense,7890,170,1890.0
52082,1688,A40,Rated Bullet tournament https://lichess.org/tournament/cQcq42ow,Englund Gambit Complex: Soller Gambit,1-0,Normal,0+2,2108,,,,Bullet,Englund Gambit Complex,666,420,1898.0
52087,1979,B07,Rated Bullet tournament https://lichess.org/tournament/cQcq42ow,Pirc Defense #5,1-0,Time forfeit,0+2,1712,,,,Bullet,Pirc Defense,2814,-267,1845.5
52091,1772,B22,Rated Bullet game,Sicilian Defense: Alapin Variation,1-0,Normal,120+1,1927,,,,Bullet,Sicilian Defense,27238,155,1849.5
52097,1462,D00,Rated Bullet tournament https://lichess.org/tournament/cQcq42ow,Queen's Pawn Game: Mason Attack,1-0,Normal,0+2,2110,,,,Bullet,Queen's Pawn Game,13096,648,1786.0
52102,2034,C40,Rated Bullet game,Latvian Gambit Accepted,0-1,Normal,60+0,2033,,,,Bullet,Latvian Gambit Accepted,177,-1,2033.5
52126,1951,D03,Rated Bullet game,Queen's Pawn Game: Torre Attack,0-1,Normal,60+0,2114,,,,Bullet,Queen's Pawn Game,13096,163,2032.5
52127,1592,A40,Rated Bullet tournament https://lichess.org/tournament/FZSx4zp0,Horwitz Defense,1-0,Time forfeit,90+0,1858,,,,Bullet,Horwitz Defense,2191,266,1725.0
52129,2070,A01,Rated Bullet tournament https://lichess.org/tournament/arZNTf8p,Nimzo-Larsen Attack,0-1,Time forfeit,30+0,2176,,,,Bullet,Nimzo-Larsen Attack,2228,106,2123.0
52147,1680,B12,Rated Bullet game,"Caro-Kann Defense: Advance Variation, Short Variation",1-0,Normal,120+1,1766,,,,Bullet,Caro-Kann Defense,6878,86,1723.0
52166,1852,A43,Rated Bullet game,Old Benoni Defense,0-1,Normal,60+0,1858,,,,Bullet,Old Benoni Defense,867,6,1855.0
52168,1873,A00,Rated Bullet tournament https://lichess.org/tournament/cQcq42ow,Hungarian Opening,1-0,Time forfeit,0+2,1842,,,,Bullet,Hungarian Opening,2313,-31,1857.5
52172,1650,B00,Rated Bullet game,Owen Defense,1-0,Time forfeit,60+0,1755,,,,Bullet,Owen Defense,1829,105,1702.5
52190,1820,A01,Rated UltraBullet game,Nimzo-Larsen Attack,0-1,Time forfeit,15+0,1889,,,,Bullet,Nimzo-Larsen Attack,2228,69,1854.5
52200,2133,A00,Rated Bullet game,Hungarian Opening: Indian Defense,0-1,Time forfeit,60+0,2000,,,,Bullet,Hungarian Opening,2313,-133,2066.5
52262,1745,D15,Rated Bullet game,Slav Defense: Three Knights Variation,0-1,Normal,90+0,1899,,,,Bullet,Slav Defense,2437,154,1822.0
52281,2060,A43,Rated Bullet game,Old Benoni Defense #2,0-1,Time forfeit,120+1,1981,,,,Bullet,Old Benoni Defense,867,-79,2020.5
52285,2141,B07,Rated Bullet game,Pirc Defense #5,0-1,Time forfeit,120+1,2097,,,,Bullet,Pirc Defense,2814,-44,2119.0
52311,1880,C25,Rated Bullet tournament https://lichess.org/tournament/cQcq42ow,"Vienna Game: Vienna Gambit, Steinitz Gambit, Knight Variation",0-1,Time forfeit,0+2,1872,,,,Bullet,Vienna Game,1849,-8,1876.0
52318,2007,B07,Rated Bullet game,Pirc Defense #2,1-0,Normal,60+0,2077,,,,Bullet,Pirc Defense,2814,70,2042.0
52324,1785,D11,Rated Bullet game,Slav Defense: Modern Line,1-0,Normal,60+0,1837,,,,Bullet,Slav Defense,2437,52,1811.0
52339,1857,C45,Rated Bullet game,Scotch Game,1-0,Normal,60+0,1853,,,,Bullet,Scotch Game,4227,-4,1855.0
52349,2051,A14,Rated Bullet game,"English Opening: Agincourt Defense, Tarrasch Defense",1-0,Normal,120+1,1989,,,,Bullet,English Opening,7494,-62,2020.0
52353,1785,A07,Rated Bullet game,King's Indian Attack: Omega-Delta Gambit,1-0,Time forfeit,60+0,1832,,,,Bullet,King's Indian Attack,802,47,1808.5
52386,2129,A43,Rated Bullet tournament https://lichess.org/tournament/cQcq42ow,Franco-Benoni Defense,1-0,Time forfeit,0+2,1444,FM,,,Bullet,Franco-Benoni Defense,173,-685,1786.5
52400,1846,C88,Rated Bullet tournament https://lichess.org/tournament/cQcq42ow,"Ruy Lopez: Closed, Anti-Marshall 8.a4",0-1,Normal,0+2,1823,,,,Bullet,Ruy Lopez,6912,-23,1834.5
52439,1589,E20,Rated Bullet game,Nimzo-Indian Defense: Ragozin Variation,0-1,Normal,60+0,1885,,,,Bullet,Nimzo-Indian Defense,1319,296,1737.0
52455,1805,A40,Rated Bullet game,Borg Defense: Borg Gambit,1-0,Normal,120+1,1696,,,,Bullet,Borg Defense,130,-109,1750.5
52510,1725,A48,Rated Bullet game,London System,1-0,Normal,120+1,1794,,,,Bullet,London System,217,69,1759.5
52522,1749,B18,Rated Bullet game,Caro-Kann Defense: Classical Variation,1-0,Time forfeit,60+0,1781,,,,Bullet,Caro-Kann Defense,6878,32,1765.0
52549,1911,C01,Rated Bullet game,"French Defense: Exchange Variation, Monte Carlo Variation",1-0,Normal,60+0,2003,,,,Bullet,French Defense,13036,92,1957.0
52550,1787,B01,Rated Bullet game,Scandinavian Defense,0-1,Normal,60+0,1755,,,,Bullet,Scandinavian Defense,7890,-32,1771.0
52561,1771,A01,Rated Bullet game,Nimzo-Larsen Attack: Modern Variation #2,1-0,Normal,60+0,1783,,,,Bullet,Nimzo-Larsen Attack,2228,12,1777.0
52580,1993,A08,Rated Bullet tournament https://lichess.org/tournament/U3lfuaqe,King's Indian Attack,1/2-1/2,Normal,60+0,1688,,,,Bullet,King's Indian Attack,802,-305,1840.5
52589,1992,A00,Rated Bullet tournament https://lichess.org/tournament/U3lfuaqe,Van't Kruijs Opening,0-1,Normal,60+0,1957,,,,Bullet,Van't Kruijs Opening,2719,-35,1974.5
52598,1875,D50,Rated Bullet game,Queen's Gambit Declined: Modern Variation,0-1,Time forfeit,120+1,1877,,,,Bullet,Queen's Gambit Declined,4145,2,1876.0
52627,1770,D02,Rated Bullet game,Queen's Pawn Game: London System,1-0,Normal,120+1,1966,,,,Bullet,Queen's Pawn Game,13096,196,1868.0
52649,1894,A02,Rated Bullet game,Bird Opening: From's Gambit,1-0,Time forfeit,60+0,2203,FM,,,Bullet,Bird Opening,1581,309,2048.5
52699,1733,D03,Rated Bullet game,Queen's Pawn Game: Torre Attack,1-0,Time forfeit,120+1,1739,,,,Bullet,Queen's Pawn Game,13096,6,1736.0
52714,1948,A00,Rated Bullet game,Grob Opening: Grob Gambit,0-1,Time forfeit,60+0,1644,,,,Bullet,Grob Opening,476,-304,1796.0
52719,2047,B40,Rated Bullet game,Sicilian Defense: Delayed Alapin Variation,0-1,Normal,60+0,1980,,,,Bullet,Sicilian Defense,27238,-67,2013.5
52738,1809,B40,Rated Bullet game,Sicilian Defense: Pin Variation,1-0,Normal,60+0,1722,,,,Bullet,Sicilian Defense,27238,-87,1765.5
52760,2101,B07,Rated Bullet game,Pirc Defense #5,0-1,Normal,60+0,1945,,,,Bullet,Pirc Defense,2814,-156,2023.0
52809,1829,A02,Rated Bullet game,Bird Opening,1-0,Normal,120+1,1700,,,,Bullet,Bird Opening,1581,-129,1764.5
52821,1650,A43,Rated Bullet tournament https://lichess.org/tournament/w5ppfVf2,Old Benoni Defense,1-0,Normal,60+0,1891,,,,Bullet,Old Benoni Defense,867,241,1770.5
52832,2207,A01,Rated UltraBullet tournament https://lichess.org/tournament/SEu37FuW,Nimzo-Larsen Attack,0-1,Time forfeit,15+0,1836,,,,Bullet,Nimzo-Larsen Attack,2228,-371,2021.5
52885,1847,A04,Rated UltraBullet tournament https://lichess.org/tournament/SEu37FuW,Zukertort Opening: Kingside Fianchetto,0-1,Normal,15+0,1913,,,,Bullet,Zukertort Opening,3388,66,1880.0
52890,1780,A00,Rated Bullet game,Mieses Opening,1-0,Normal,60+0,1750,,,,Bullet,Mieses Opening,881,-30,1765.0
52891,1830,A00,Rated Bullet game,Polish Opening,0-1,Normal,60+0,1902,,,,Bullet,Polish Opening,733,72,1866.0
52902,1737,D02,Rated Bullet game,Queen's Pawn Game: Symmetrical Variation,1-0,Time forfeit,60+0,1761,,,,Bullet,Queen's Pawn Game,13096,24,1749.0
52913,2092,E90,Rated Bullet game,"King's Indian Defense: Normal Variation, Rare Defenses",1-0,Time forfeit,60+0,2037,,,,Bullet,King's Indian Defense,2170,-55,2064.5
52918,1904,C00,Rated Bullet game,French Defense: Knight Variation,1-0,Normal,60+0,1924,,,,Bullet,French Defense,13036,20,1914.0
52926,1900,B11,Rated Bullet game,Caro-Kann Defense,0-1,Normal,60+0,1902,,,,Bullet,Caro-Kann Defense,6878,2,1901.0
52932,1916,A11,Rated Bullet game,English Opening: Caro-Kann Defensive System,1-0,Normal,60+0,1983,,,,Bullet,English Opening,7494,67,1949.5
52974,1987,D06,Rated Bullet tournament https://lichess.org/tournament/usNjKLPS,Queen's Gambit Refused: Austrian Defense,1-0,Normal,60+0,2014,,,,Bullet,Queen's Gambit Declined,2704,27,2000.5
52976,1908,A40,Rated Bullet game,English Defense #2,0-1,Normal,60+0,1677,,,,Bullet,English Defense,795,-231,1792.5
53017,2065,C01,Rated Bullet tournament https://lichess.org/tournament/usNjKLPS,French Defense: Exchange Variation,0-1,Normal,60+0,1914,,,,Bullet,French Defense,13036,-151,1989.5
53033,1758,B01,Rated Bullet game,Scandinavian Defense,0-1,Normal,60+0,1755,,,,Bullet,Scandinavian Defense,7890,-3,1756.5
53034,1786,B54,Rated Bullet game,Sicilian Defense,1-0,Normal,60+0,1812,,,,Bullet,Sicilian Defense,27238,26,1799.0
53048,1568,A00,Rated Bullet game,Grob Opening,1-0,Normal,120+0,1873,,,,Bullet,Grob Opening,476,305,1720.5
53083,1861,B00,Rated Bullet game,Duras Gambit,1-0,Time forfeit,60+0,1815,,,,Bullet,Duras Gambit,230,-46,1838.0
53086,2007,A48,Rated Bullet game,Torre Attack,0-1,Normal,60+0,2076,,,,Bullet,Torre Attack,394,69,2041.5
53134,1705,C39,Rated Bullet game,"King's Gambit Accepted, Kieseritzky Gambit, Rosenthal Defense",0-1,Normal,120+1,1709,,,,Bullet,King's Gambit Accepted,1706,4,1707.0
53163,2065,A40,Rated Bullet game,Modern Defense,1-0,Time forfeit,60+0,2190,,,,Bullet,Modern Defense,3666,125,2127.5
53164,1789,B50,Rated Bullet game,Sicilian Defense: Delayed Alapin,0-1,Normal,120+1,1676,,,,Bullet,Sicilian Defense,27238,-113,1732.5
53178,2349,C45,Rated Bullet tournament https://lichess.org/tournament/CGbzcbdl,Scotch Game,1-0,Time forfeit,60+0,2161,,,,Bullet,Scotch Game,4227,-188,2255.0
53190,1695,D02,Rated Bullet game,Queen's Pawn Game: Zukertort Variation,1-0,Normal,60+0,1782,,,,Bullet,Queen's Pawn Game,13096,87,1738.5
53212,1915,C42,Rated Bullet game,Russian Game: Cochrane Gambit,0-1,Time forfeit,60+0,1928,,,,Bullet,Russian Game,2640,13,1921.5
53232,1825,C03,Rated Bullet game,French Defense: Tarrasch Variation,1-0,Time forfeit,60+0,1821,,,,Bullet,French Defense,13036,-4,1823.0
53233,1660,E00,Rated Bullet game,Indian Game: East Indian Defense,0-1,Normal,60+0,1746,,,,Bullet,Indian Game,4090,86,1703.0
53246,1771,B01,Rated Bullet game,Scandinavian Defense,0-1,Normal,120+0,1726,,,,Bullet,Scandinavian Defense,7890,-45,1748.5
53255,2045,D00,Rated Bullet game,Queen's Pawn Game #2,0-1,Normal,120+1,1897,,,,Bullet,Queen's Pawn Game,13096,-148,1971.0
53260,1869,D10,Rated Bullet game,Slav Defense #2,0-1,Time forfeit,60+0,1894,,,,Bullet,Slav Defense,2437,25,1881.5
53272,1718,C65,Rated Bullet game,Ruy Lopez: Berlin Defense #2,1-0,Time forfeit,120+1,1862,,,,Bullet,Ruy Lopez,6912,144,1790.0
53295,2027,C01,Rated Bullet game,French Defense: Exchange Variation,1-0,Normal,120+1,1850,,,,Bullet,French Defense,13036,-177,1938.5
53322,2083,B18,Rated Bullet game,"Caro-Kann Defense: Classical Variation, Flohr Variation",0-1,Time forfeit,60+0,2375,,,,Bullet,Caro-Kann Defense,6878,292,2229.0
53331,1746,A00,Rated Bullet game,Hungarian Opening: Indian Defense,1-0,Time forfeit,60+0,1759,,,,Bullet,Hungarian Opening,2313,13,1752.5
53338,1815,B00,Rated Bullet game,Duras Gambit,1-0,Normal,60+0,1743,,,,Bullet,Duras Gambit,230,-72,1779.0
53419,2132,C25,Rated Bullet game,"Vienna Game: Vienna Gambit, Steinitz Gambit, Knight Variation",1-0,Time forfeit,60+0,2174,,,,Bullet,Vienna Game,1849,42,2153.0
53421,1751,B21,Rated Bullet game,Sicilian Defense: McDonnell Attack,0-1,Normal,120+1,1776,,,,Bullet,Sicilian Defense,27238,25,1763.5
53445,2260,A40,Rated Bullet game,Queen's Pawn,1-0,Normal,60+0,2263,,GM,,Bullet,Queen's Pawn Game,1407,3,2261.5
53451,1739,D02,Rated Bullet game,Queen's Pawn Game: Anti-Torre,0-1,Time forfeit,60+0,1793,,,,Bullet,Queen's Pawn Game,13096,54,1766.0
53452,1762,C51,Rated Bullet game,Italian Game: Evans Gambit Declined,1-0,Normal,120+0,1778,,,,Bullet,Italian Game,8617,16,1770.0
53461,1727,A41,Rated Bullet game,Old Indian Defense,1-0,Normal,60+0,1690,,,,Bullet,Old Indian Defense,506,-37,1708.5
53508,2045,B21,Rated Bullet game,Sicilian Defense: McDonnell Attack,0-1,Normal,60+0,1933,,,,Bullet,Sicilian Defense,27238,-112,1989.0
53527,1894,A46,Rated Bullet game,Indian Game: Spielmann-Indian,0-1,Time forfeit,120+1,1935,,,,Bullet,Indian Game,4090,41,1914.5
53547,1914,A41,Rated Bullet game,Queen's Pawn,0-1,Time forfeit,60+0,2099,,,,Bullet,Queen's Pawn Game,1407,185,2006.5
53636,1555,D11,Rated Bullet tournament https://lichess.org/tournament/mNinIS87,Slav Defense: Modern Line,1-0,Normal,60+0,2253,,NM,,Bullet,Slav Defense,2437,698,1904.0
53710,2025,A06,Rated Bullet game,RÃ©ti Opening,0-1,Time forfeit,60+0,1862,,,,Bullet,RÃ©ti Opening,668,-163,1943.5
53745,1944,B07,Rated UltraBullet game,Pirc Defense #4,1-0,Time forfeit,15+0,2043,,,,Bullet,Pirc Defense,2814,99,1993.5
53750,2054,D10,Rated Bullet game,Slav Defense #2,1-0,Normal,60+0,2030,,,,Bullet,Slav Defense,2437,-24,2042.0
53751,2072,B23,Rated UltraBullet game,Sicilian Defense: Grand Prix Attack,0-1,Time forfeit,15+0,1936,,,,Bullet,Sicilian Defense,27238,-136,2004.0
53766,1755,C34,Rated Bullet game,"King's Gambit Accepted, Fischer Defense",0-1,Normal,45+3,1651,,,,Bullet,King's Gambit Accepted,1706,-104,1703.0
53769,2160,B53,Rated Bullet game,Sicilian Defense: Chekhover Variation,0-1,Normal,120+1,2132,,,,Bullet,Sicilian Defense,27238,-28,2146.0
53783,1711,A40,Rated Bullet game,Modern Defense,0-1,Normal,60+0,1742,,,,Bullet,Modern Defense,3666,31,1726.5
53817,2172,D00,Rated Bullet game,Queen's Pawn Game: Mason Attack,1-0,Normal,60+0,2265,,GM,,Bullet,Queen's Pawn Game,13096,93,2218.5
53885,1954,A40,Rated Bullet game,Horwitz Defense,1-0,Normal,60+0,1818,,,,Bullet,Horwitz Defense,2191,-136,1886.0
53893,1888,B40,Rated Bullet game,Sicilian Defense: Delayed Alapin Variation,1-0,Time forfeit,60+0,1797,,,,Bullet,Sicilian Defense,27238,-91,1842.5
53896,2191,C44,Rated Bullet game,"Scotch Game: Scotch Gambit, GÃ¶ring Gambit Declined",1-0,Time forfeit,60+0,2087,FM,,,Bullet,Scotch Game,4227,-104,2139.0
53903,1853,C21,Rated Bullet game,"Sicilian Defense: Smith-Morra Gambit, Danish Variation",1-0,Time forfeit,60+0,1850,,,,Bullet,Sicilian Defense,27238,-3,1851.5
53928,2205,B00,Rated Bullet tournament https://lichess.org/tournament/COIpxt4G,Nimzowitsch Defense: Mikenas Variation,0-1,Normal,30+0,2208,,,,Bullet,Nimzowitsch Defense,2364,3,2206.5
53942,1732,B90,Rated Bullet game,"Sicilian Defense: Najdorf Variation, English Attack",0-1,Time forfeit,60+0,1757,,,,Bullet,Sicilian Defense,27238,25,1744.5
53962,1881,E61,Rated Bullet game,King's Indian Defense,0-1,Time forfeit,0+2,1872,,,,Bullet,King's Indian Defense,2170,-9,1876.5
53963,1776,C40,Rated Bullet game,Elephant Gambit,0-1,Normal,60+0,1761,,,,Bullet,Elephant Gambit,549,-15,1768.5
53969,1847,B00,Rated Bullet game,Owen Defense,1-0,Normal,60+0,1818,,,,Bullet,Owen Defense,1829,-29,1832.5
53989,1683,C31,Rated Bullet game,King's Gambit Declined: Falkbeer Countergambit,0-1,Normal,60+0,1740,,,,Bullet,King's Gambit Declined,743,57,1711.5
54000,2037,B28,Rated Bullet tournament https://lichess.org/tournament/COIpxt4G,Sicilian Defense: O'Kelly Variation,1-0,Time forfeit,30+0,2209,,,,Bullet,Sicilian Defense,27238,172,2123.0
54016,1901,B07,Rated Bullet game,Pirc Defense #2,0-1,Normal,60+0,1858,,,,Bullet,Pirc Defense,2814,-43,1879.5
54054,1922,A40,Rated Bullet game,"Englund Gambit Declined, Reversed Krebs",1-0,Normal,60+0,2051,,,,Bullet,Englund Gambit Declined,594,129,1986.5
54064,1921,A80,Rated Bullet game,Dutch Defense,0-1,Normal,60+0,1882,,,,Bullet,Dutch Defense,1126,-39,1901.5
54072,1699,C00,Rated Bullet game,French Defense: Knight Variation,0-1,Normal,120+1,1735,,,,Bullet,French Defense,13036,36,1717.0
54080,2122,B30,Rated Bullet game,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,0-1,Time forfeit,60+0,2002,,,,Bullet,Sicilian Defense,27238,-120,2062.0
54098,2006,C88,Rated Bullet game,"Ruy Lopez: Closed, 7...O-O",0-1,Normal,120+1,1940,,,,Bullet,Ruy Lopez,6912,-66,1973.0
54117,1757,C20,Rated Bullet game,King's Pawn Game: Macleod Attack,1-0,Normal,120+0,1947,,,,Bullet,King's Pawn Game,6903,190,1852.0
54144,2445,A40,Rated Bullet game,Queen's Pawn,1/2-1/2,Normal,60+0,2472,,,Kg8,Bullet,Queen's Pawn Game,1407,27,2458.5
54170,1808,B06,Rated Bullet game,Modern Defense,1-0,Normal,60+0,1754,,,,Bullet,Modern Defense,3666,-54,1781.0
54179,1995,E98,Rated Bullet game,"King's Indian Defense: Orthodox Variation, Classical System",0-1,Normal,120+1,1777,,,,Bullet,King's Indian Defense,2170,-218,1886.0
54187,2900,A43,Rated Bullet game,Franco-Benoni Defense,0-1,Normal,60+0,2900,GM,GM,,Bullet,Franco-Benoni Defense,173,0,2900.0
54196,1884,C00,Rated Bullet game,French Defense: Normal Variation,1-0,Time forfeit,0+1,1777,,,,Bullet,French Defense,13036,-107,1830.5
54208,1670,B01,Rated UltraBullet tournament https://lichess.org/tournament/2lt4xDZT,Scandinavian Defense,1-0,Time forfeit,15+0,2036,,,,Bullet,Scandinavian Defense,7890,366,1853.0
54214,1907,D15,Rated Bullet game,Slav Defense: Geller Gambit #2,1-0,Normal,120+1,2154,,,,Bullet,Slav Defense,2437,247,2030.5
54218,2165,A00,Rated UltraBullet tournament https://lichess.org/tournament/2lt4xDZT,Saragossa Opening,0-1,Time forfeit,15+0,2060,,,,Bullet,Saragossa Opening,513,-105,2112.5
54225,1693,B01,Rated Bullet game,Scandinavian Defense: Modern Variation #2,1-0,Time forfeit,120+1,1755,,,,Bullet,Scandinavian Defense,7890,62,1724.0
54236,2024,C00,Rated Bullet game,French Defense: King's Indian Attack,1-0,Normal,120+1,2071,,,,Bullet,French Defense,13036,47,2047.5
